方向 Ｄ流入 流入計= 10 + 11 + 12
種別 小型車 大型車 小型車 大型車 自動車 大型車 時間動力付き二輪車類
乗用車 小型 バス 普通 計 計 類 計 混入率 比率
貨物車 貨物車 貨物車 貨物車
時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台]
7時台 497 11 9 3 508 12 520 2.3% 8.8% 6
8時台 459 18 6 3 477 9 486 1.9% 8.3% 3
9時台 382 21 7 3 403 10 413 2.4% 7.0% 0
10時台 399 21 12 7 420 19 439 4.3% 7.5% 3
11時台 390 22 13 3 412 16 428 3.7% 7.3% 2
12時台 366 16 16 1 382 17 399 4.3% 6.8% 2
13時台 361 28 12 4 389 16 405 4.0% 6.9% 3
14時台 443 22 14 2 465 16 481 3.3% 8.2% 1
15時台 442 15 15 1 457 16 473 3.4% 8.0% 1
16時台 451 15 8 2 466 10 476 2.1% 8.1% 5
17時台 469 10 13 0 479 13 492 2.6% 8.4% 2
18時台 483 6 7 1 489 8 497 1.6% 8.5% 4
19時台 363 2 6 0 365 6 371 1.6% 6.3% 0
13時間計 5,505 207 138 30 5,712 168 5,880 2.9% 100.0% 32 
