集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401090700,202401090800,Link27_27_6,332,Link7_C_in
202401090800,202401090900,Link27_27_6,382,Link7_C_in
202401090900,202401091000,Link27_27_6,202,Link7_C_in
202401091000,202401091100,Link27_27_6,226,Link7_C_in
202401091100,202401091200,Link27_27_6,277,Link7_C_in
202401091200,202401091300,Link27_27_6,202,Link7_C_in
202401091300,202401091400,Link27_27_6,258,Link7_C_in
202401091400,202401091500,Link27_27_6,261,Link7_C_in
202401091500,202401091600,Link27_27_6,215,Link7_C_in
202401091600,202401091700,Link27_27_6,238,Link7_C_in
202401091700,202401091800,Link27_27_6,264,Link7_C_in
202401091800,202401091900,Link27_27_6,201,Link7_C_in
202401091900,202401092000,Link27_27_6,173,Link7_C_in
