集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401090700,202401090800,Link29_6_28,817,Link7_B_out
202401090800,202401090900,Link29_6_28,1098,Link7_B_out
202401090900,202401091000,Link29_6_28,784,Link7_B_out
202401091000,202401091100,Link29_6_28,1029,Link7_B_out
202401091100,202401091200,Link29_6_28,846,Link7_B_out
202401091200,202401091300,Link29_6_28,751,Link7_B_out
202401091300,202401091400,Link29_6_28,821,Link7_B_out
202401091400,202401091500,Link29_6_28,919,Link7_B_out
202401091500,202401091600,Link29_6_28,846,Link7_B_out
202401091600,202401091700,Link29_6_28,1017,Link7_B_out
202401091700,202401091800,Link29_6_28,1046,Link7_B_out
202401091800,202401091900,Link29_6_28,1105,Link7_B_out
202401091900,202401092000,Link29_6_28,704,Link7_B_out
