集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401090700,202401090800,Link30_6_29,334,Link7_A_out
202401090800,202401090900,Link30_6_29,375,Link7_A_out
202401090900,202401091000,Link30_6_29,333,Link7_A_out
202401091000,202401091100,Link30_6_29,413,Link7_A_out
202401091100,202401091200,Link30_6_29,364,Link7_A_out
202401091200,202401091300,Link30_6_29,356,Link7_A_out
202401091300,202401091400,Link30_6_29,368,Link7_A_out
202401091400,202401091500,Link30_6_29,391,Link7_A_out
202401091500,202401091600,Link30_6_29,384,Link7_A_out
202401091600,202401091700,Link30_6_29,453,Link7_A_out
202401091700,202401091800,Link30_6_29,481,Link7_A_out
202401091800,202401091900,Link30_6_29,491,Link7_A_out
202401091900,202401092000,Link30_6_29,378,Link7_A_out
