集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401160700,202401160800,Link29_6_28,265,Link7_B_out
202401160800,202401160900,Link29_6_28,370,Link7_B_out
202401160900,202401161000,Link29_6_28,450,Link7_B_out
202401161000,202401161100,Link29_6_28,310,Link7_B_out
202401161100,202401161200,Link29_6_28,290,Link7_B_out
202401161200,202401161300,Link29_6_28,282,Link7_B_out
202401161300,202401161400,Link29_6_28,358,Link7_B_out
202401161400,202401161500,Link29_6_28,359,Link7_B_out
202401161500,202401161600,Link29_6_28,287,Link7_B_out
202401161600,202401161700,Link29_6_28,434,Link7_B_out
202401161700,202401161800,Link29_6_28,409,Link7_B_out
202401161800,202401161900,Link29_6_28,491,Link7_B_out
202401161900,202401162000,Link29_6_28,251,Link7_B_out
