集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401090700,202401090800,Link27_6_27,185,Link7_C_out
202401090800,202401090900,Link27_6_27,307,Link7_C_out
202401090900,202401091000,Link27_6_27,265,Link7_C_out
202401091000,202401091100,Link27_6_27,325,Link7_C_out
202401091100,202401091200,Link27_6_27,271,Link7_C_out
202401091200,202401091300,Link27_6_27,216,Link7_C_out
202401091300,202401091400,Link27_6_27,255,Link7_C_out
202401091400,202401091500,Link27_6_27,289,Link7_C_out
202401091500,202401091600,Link27_6_27,276,Link7_C_out
202401091600,202401091700,Link27_6_27,268,Link7_C_out
202401091700,202401091800,Link27_6_27,227,Link7_C_out
202401091800,202401091900,Link27_6_27,264,Link7_C_out
202401091900,202401092000,Link27_6_27,190,Link7_C_out
