集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401160700,202401160800,Link27_6_27,200,Link7_C_out
202401160800,202401160900,Link27_6_27,298,Link7_C_out
202401160900,202401161000,Link27_6_27,306,Link7_C_out
202401161000,202401161100,Link27_6_27,208,Link7_C_out
202401161100,202401161200,Link27_6_27,277,Link7_C_out
202401161200,202401161300,Link27_6_27,186,Link7_C_out
202401161300,202401161400,Link27_6_27,249,Link7_C_out
202401161400,202401161500,Link27_6_27,248,Link7_C_out
202401161500,202401161600,Link27_6_27,249,Link7_C_out
202401161600,202401161700,Link27_6_27,254,Link7_C_out
202401161700,202401161800,Link27_6_27,285,Link7_C_out
202401161800,202401161900,Link27_6_27,264,Link7_C_out
202401161900,202401162000,Link27_6_27,171,Link7_C_out
