集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401160700,202401160800,Link21_22_4,672,Link2_D_in
202401160800,202401160900,Link21_22_4,821,Link2_D_in
202401160900,202401161000,Link21_22_4,567,Link2_D_in
202401161000,202401161100,Link21_22_4,598,Link2_D_in
202401161100,202401161200,Link21_22_4,492,Link2_D_in
202401161200,202401161300,Link21_22_4,526,Link2_D_in
202401161300,202401161400,Link21_22_4,580,Link2_D_in
202401161400,202401161500,Link21_22_4,507,Link2_D_in
202401161500,202401161600,Link21_22_4,535,Link2_D_in
202401161600,202401161700,Link21_22_4,605,Link2_D_in
202401161700,202401161800,Link21_22_4,579,Link2_D_in
202401161800,202401161900,Link21_22_4,613,Link2_D_in
202401161900,202401162000,Link21_22_4,373,Link2_D_in
202401160700,202401160800,Link21_4_22,626,Link2_D_out
202401160800,202401160900,Link21_4_22,770,Link2_D_out
202401160900,202401161000,Link21_4_22,632,Link2_D_out
202401161000,202401161100,Link21_4_22,637,Link2_D_out
202401161100,202401161200,Link21_4_22,670,Link2_D_out
202401161200,202401161300,Link21_4_22,530,Link2_D_out
202401161300,202401161400,Link21_4_22,547,Link2_D_out
202401161400,202401161500,Link21_4_22,583,Link2_D_out
202401161500,202401161600,Link21_4_22,613,Link2_D_out
202401161600,202401161700,Link21_4_22,755,Link2_D_out
202401161700,202401161800,Link21_4_22,981,Link2_D_out
202401161800,202401161900,Link21_4_22,717,Link2_D_out
202401161900,202401162000,Link21_4_22,507,Link2_D_out
