集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401090700,202401090800,Link17_19_4,792,Link2_C_in
202401090800,202401090900,Link17_19_4,828,Link2_C_in
202401090900,202401091000,Link17_19_4,999,Link2_C_in
202401091000,202401091100,Link17_19_4,1084,Link2_C_in
202401091100,202401091200,Link17_19_4,885,Link2_C_in
202401091200,202401091300,Link17_19_4,958,Link2_C_in
202401091300,202401091400,Link17_19_4,1069,Link2_C_in
202401091400,202401091500,Link17_19_4,1044,Link2_C_in
202401091500,202401091600,Link17_19_4,1057,Link2_C_in
202401091600,202401091700,Link17_19_4,945,Link2_C_in
202401091700,202401091800,Link17_19_4,1142,Link2_C_in
202401091800,202401091900,Link17_19_4,1088,Link2_C_in
202401091900,202401092000,Link17_19_4,942,Link2_C_in
202401090700,202401090800,Link17_4_19,607,Link2_C_out
202401090800,202401090900,Link17_4_19,605,Link2_C_out
202401090900,202401091000,Link17_4_19,471,Link2_C_out
202401091000,202401091100,Link17_4_19,450,Link2_C_out
202401091100,202401091200,Link17_4_19,451,Link2_C_out
202401091200,202401091300,Link17_4_19,434,Link2_C_out
202401091300,202401091400,Link17_4_19,455,Link2_C_out
202401091400,202401091500,Link17_4_19,417,Link2_C_out
202401091500,202401091600,Link17_4_19,498,Link2_C_out
202401091600,202401091700,Link17_4_19,443,Link2_C_out
202401091700,202401091800,Link17_4_19,429,Link2_C_out
202401091800,202401091900,Link17_4_19,479,Link2_C_out
202401091900,202401092000,Link17_4_19,426,Link2_C_out
