集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401090700,202401090800,Link10_2_13,475,Link1_C_in
202401090800,202401090900,Link10_2_13,399,Link1_C_in
202401090900,202401091000,Link10_2_13,414,Link1_C_in
202401091000,202401091100,Link10_2_13,388,Link1_C_in
202401091100,202401091200,Link10_2_13,368,Link1_C_in
202401091200,202401091300,Link10_2_13,401,Link1_C_in
202401091300,202401091400,Link10_2_13,370,Link1_C_in
202401091400,202401091500,Link10_2_13,364,Link1_C_in
202401091500,202401091600,Link10_2_13,395,Link1_C_in
202401091600,202401091700,Link10_2_13,395,Link1_C_in
202401091700,202401091800,Link10_2_13,348,Link1_C_in
202401091800,202401091900,Link10_2_13,451,Link1_C_in
202401091900,202401092000,Link10_2_13,407,Link1_C_in
202401090700,202401090800,Link10_13_2,526,Link1_C_out
202401090800,202401090900,Link10_13_2,489,Link1_C_out
202401090900,202401091000,Link10_13_2,650,Link1_C_out
202401091000,202401091100,Link10_13_2,682,Link1_C_out
202401091100,202401091200,Link10_13_2,623,Link1_C_out
202401091200,202401091300,Link10_13_2,624,Link1_C_out
202401091300,202401091400,Link10_13_2,665,Link1_C_out
202401091400,202401091500,Link10_13_2,605,Link1_C_out
202401091500,202401091600,Link10_13_2,661,Link1_C_out
202401091600,202401091700,Link10_13_2,659,Link1_C_out
202401091700,202401091800,Link10_13_2,587,Link1_C_out
202401091800,202401091900,Link10_13_2,623,Link1_C_out
202401091900,202401092000,Link10_13_2,585,Link1_C_out
