集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401160700,202401160800,Link4_10_1,530,Link1_A_in
202401160800,202401160900,Link4_10_1,662,Link1_A_in
202401160900,202401161000,Link4_10_1,410,Link1_A_in
202401161000,202401161100,Link4_10_1,368,Link1_A_in
202401161100,202401161200,Link4_10_1,371,Link1_A_in
202401161200,202401161300,Link4_10_1,335,Link1_A_in
202401161300,202401161400,Link4_10_1,324,Link1_A_in
202401161400,202401161500,Link4_10_1,348,Link1_A_in
202401161500,202401161600,Link4_10_1,385,Link1_A_in
202401161600,202401161700,Link4_10_1,435,Link1_A_in
202401161700,202401161800,Link4_10_1,551,Link1_A_in
202401161800,202401161900,Link4_10_1,447,Link1_A_in
202401161900,202401162000,Link4_10_1,266,Link1_A_in
202401160700,202401160800,Link4_1_10,218,Link1_A_out
202401160800,202401160900,Link4_1_10,243,Link1_A_out
202401160900,202401161000,Link4_1_10,195,Link1_A_out
202401161000,202401161100,Link4_1_10,153,Link1_A_out
202401161100,202401161200,Link4_1_10,158,Link1_A_out
202401161200,202401161300,Link4_1_10,174,Link1_A_out
202401161300,202401161400,Link4_1_10,161,Link1_A_out
202401161400,202401161500,Link4_1_10,205,Link1_A_out
202401161500,202401161600,Link4_1_10,233,Link1_A_out
202401161600,202401161700,Link4_1_10,274,Link1_A_out
202401161700,202401161800,Link4_1_10,315,Link1_A_out
202401161800,202401161900,Link4_1_10,337,Link1_A_out
202401161900,202401162000,Link4_1_10,250,Link1_A_out
