集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401160700,202401160800,Link19_20_4,381,Link2_B_in
202401160800,202401160900,Link19_20_4,446,Link2_B_in
202401160900,202401161000,Link19_20_4,330,Link2_B_in
202401161000,202401161100,Link19_20_4,240,Link2_B_in
202401161100,202401161200,Link19_20_4,329,Link2_B_in
202401161200,202401161300,Link19_20_4,257,Link2_B_in
202401161300,202401161400,Link19_20_4,322,Link2_B_in
202401161400,202401161500,Link19_20_4,336,Link2_B_in
202401161500,202401161600,Link19_20_4,332,Link2_B_in
202401161600,202401161700,Link19_20_4,355,Link2_B_in
202401161700,202401161800,Link19_20_4,482,Link2_B_in
202401161800,202401161900,Link19_20_4,397,Link2_B_in
202401161900,202401162000,Link19_20_4,245,Link2_B_in
202401160700,202401160800,Link19_4_20,373,Link2_B_out
202401160800,202401160900,Link19_4_20,560,Link2_B_out
202401160900,202401161000,Link19_4_20,386,Link2_B_out
202401161000,202401161100,Link19_4_20,435,Link2_B_out
202401161100,202401161200,Link19_4_20,334,Link2_B_out
202401161200,202401161300,Link19_4_20,296,Link2_B_out
202401161300,202401161400,Link19_4_20,368,Link2_B_out
202401161400,202401161500,Link19_4_20,355,Link2_B_out
202401161500,202401161600,Link19_4_20,356,Link2_B_out
202401161600,202401161700,Link19_4_20,455,Link2_B_out
202401161700,202401161800,Link19_4_20,432,Link2_B_out
202401161800,202401161900,Link19_4_20,404,Link2_B_out
202401161900,202401162000,Link19_4_20,159,Link2_B_out
