集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401160700,202401160800,Link6_11_1,791,Link1_E_in
202401160800,202401160900,Link6_11_1,818,Link1_E_in
202401160900,202401161000,Link6_11_1,774,Link1_E_in
202401161000,202401161100,Link6_11_1,804,Link1_E_in
202401161100,202401161200,Link6_11_1,713,Link1_E_in
202401161200,202401161300,Link6_11_1,676,Link1_E_in
202401161300,202401161400,Link6_11_1,771,Link1_E_in
202401161400,202401161500,Link6_11_1,649,Link1_E_in
202401161500,202401161600,Link6_11_1,731,Link1_E_in
202401161600,202401161700,Link6_11_1,806,Link1_E_in
202401161700,202401161800,Link6_11_1,796,Link1_E_in
202401161800,202401161900,Link6_11_1,802,Link1_E_in
202401161900,202401162000,Link6_11_1,579,Link1_E_in
202401160700,202401160800,Link6_1_11,983,Link1_E_out
202401160800,202401160900,Link6_1_11,895,Link1_E_out
202401160900,202401161000,Link6_1_11,950,Link1_E_out
202401161000,202401161100,Link6_1_11,880,Link1_E_out
202401161100,202401161200,Link6_1_11,863,Link1_E_out
202401161200,202401161300,Link6_1_11,815,Link1_E_out
202401161300,202401161400,Link6_1_11,808,Link1_E_out
202401161400,202401161500,Link6_1_11,876,Link1_E_out
202401161500,202401161600,Link6_1_11,841,Link1_E_out
202401161600,202401161700,Link6_1_11,940,Link1_E_out
202401161700,202401161800,Link6_1_11,1197,Link1_E_out
202401161800,202401161900,Link6_1_11,1097,Link1_E_out
202401161900,202401162000,Link6_1_11,734,Link1_E_out
