集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401090700,202401090800,Link24_24_5,904,Link4_C_in
202401090800,202401090900,Link24_24_5,1000,Link4_C_in
202401090900,202401091000,Link24_24_5,777,Link4_C_in
202401091000,202401091100,Link24_24_5,780,Link4_C_in
202401091100,202401091200,Link24_24_5,747,Link4_C_in
202401091200,202401091300,Link24_24_5,657,Link4_C_in
202401091300,202401091400,Link24_24_5,749,Link4_C_in
202401091400,202401091500,Link24_24_5,818,Link4_C_in
202401091500,202401091600,Link24_24_5,721,Link4_C_in
202401091600,202401091700,Link24_24_5,778,Link4_C_in
202401091700,202401091800,Link24_24_5,784,Link4_C_in
202401091800,202401091900,Link24_24_5,755,Link4_C_in
202401091900,202401092000,Link24_24_5,694,Link4_C_in
202401090700,202401090800,Link24_5_24,661,Link4_C_out
202401090800,202401090900,Link24_5_24,621,Link4_C_out
202401090900,202401091000,Link24_5_24,492,Link4_C_out
202401091000,202401091100,Link24_5_24,538,Link4_C_out
202401091100,202401091200,Link24_5_24,523,Link4_C_out
202401091200,202401091300,Link24_5_24,535,Link4_C_out
202401091300,202401091400,Link24_5_24,562,Link4_C_out
202401091400,202401091500,Link24_5_24,497,Link4_C_out
202401091500,202401091600,Link24_5_24,516,Link4_C_out
202401091600,202401091700,Link24_5_24,499,Link4_C_out
202401091700,202401091800,Link24_5_24,450,Link4_C_out
202401091800,202401091900,Link24_5_24,514,Link4_C_out
202401091900,202401092000,Link24_5_24,471,Link4_C_out
