集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401160700,202401160800,Link11_14_1,646,Link1_B_in
202401160800,202401160900,Link11_14_1,724,Link1_B_in
202401160900,202401161000,Link11_14_1,673,Link1_B_in
202401161000,202401161100,Link11_14_1,592,Link1_B_in
202401161100,202401161200,Link11_14_1,601,Link1_B_in
202401161200,202401161300,Link11_14_1,536,Link1_B_in
202401161300,202401161400,Link11_14_1,526,Link1_B_in
202401161400,202401161500,Link11_14_1,598,Link1_B_in
202401161500,202401161600,Link11_14_1,606,Link1_B_in
202401161600,202401161700,Link11_14_1,676,Link1_B_in
202401161700,202401161800,Link11_14_1,956,Link1_B_in
202401161800,202401161900,Link11_14_1,803,Link1_B_in
202401161900,202401162000,Link11_14_1,489,Link1_B_in
202401160700,202401160800,Link11_1_14,656,Link1_B_out
202401160800,202401160900,Link11_1_14,883,Link1_B_out
202401160900,202401161000,Link11_1_14,598,Link1_B_out
202401161000,202401161100,Link11_1_14,593,Link1_B_out
202401161100,202401161200,Link11_1_14,538,Link1_B_out
202401161200,202401161300,Link11_1_14,485,Link1_B_out
202401161300,202401161400,Link11_1_14,601,Link1_B_out
202401161400,202401161500,Link11_1_14,516,Link1_B_out
202401161500,202401161600,Link11_1_14,560,Link1_B_out
202401161600,202401161700,Link11_1_14,606,Link1_B_out
202401161700,202401161800,Link11_1_14,617,Link1_B_out
202401161800,202401161900,Link11_1_14,603,Link1_B_out
202401161900,202401162000,Link11_1_14,421,Link1_B_out
