集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401160700,202401160800,Link10_2_13,429,Link1_C_in
202401160800,202401160900,Link10_2_13,318,Link1_C_in
202401160900,202401161000,Link10_2_13,376,Link1_C_in
202401161000,202401161100,Link10_2_13,401,Link1_C_in
202401161100,202401161200,Link10_2_13,378,Link1_C_in
202401161200,202401161300,Link10_2_13,383,Link1_C_in
202401161300,202401161400,Link10_2_13,391,Link1_C_in
202401161400,202401161500,Link10_2_13,392,Link1_C_in
202401161500,202401161600,Link10_2_13,374,Link1_C_in
202401161600,202401161700,Link10_2_13,420,Link1_C_in
202401161700,202401161800,Link10_2_13,431,Link1_C_in
202401161800,202401161900,Link10_2_13,477,Link1_C_in
202401161900,202401162000,Link10_2_13,358,Link1_C_in
202401160700,202401160800,Link10_13_2,532,Link1_C_out
202401160800,202401160900,Link10_13_2,530,Link1_C_out
202401160900,202401161000,Link10_13_2,480,Link1_C_out
202401161000,202401161100,Link10_13_2,468,Link1_C_out
202401161100,202401161200,Link10_13_2,420,Link1_C_out
202401161200,202401161300,Link10_13_2,432,Link1_C_out
202401161300,202401161400,Link10_13_2,384,Link1_C_out
202401161400,202401161500,Link10_13_2,383,Link1_C_out
202401161500,202401161600,Link10_13_2,437,Link1_C_out
202401161600,202401161700,Link10_13_2,496,Link1_C_out
202401161700,202401161800,Link10_13_2,556,Link1_C_out
202401161800,202401161900,Link10_13_2,524,Link1_C_out
202401161900,202401162000,Link10_13_2,362,Link1_C_out
