集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401160700,202401160800,Link20_21_4,809,Link2_A_in
202401160800,202401160900,Link20_21_4,960,Link2_A_in
202401160900,202401161000,Link20_21_4,850,Link2_A_in
202401161000,202401161100,Link20_21_4,939,Link2_A_in
202401161100,202401161200,Link20_21_4,949,Link2_A_in
202401161200,202401161300,Link20_21_4,867,Link2_A_in
202401161300,202401161400,Link20_21_4,821,Link2_A_in
202401161400,202401161500,Link20_21_4,796,Link2_A_in
202401161500,202401161600,Link20_21_4,850,Link2_A_in
202401161600,202401161700,Link20_21_4,1155,Link2_A_in
202401161700,202401161800,Link20_21_4,1166,Link2_A_in
202401161800,202401161900,Link20_21_4,895,Link2_A_in
202401161900,202401162000,Link20_21_4,686,Link2_A_in
202401160700,202401160800,Link20_4_21,1120,Link2_A_out
202401160800,202401160900,Link20_4_21,1043,Link2_A_out
202401160900,202401161000,Link20_4_21,1055,Link2_A_out
202401161000,202401161100,Link20_4_21,926,Link2_A_out
202401161100,202401161200,Link20_4_21,907,Link2_A_out
202401161200,202401161300,Link20_4_21,939,Link2_A_out
202401161300,202401161400,Link20_4_21,981,Link2_A_out
202401161400,202401161500,Link20_4_21,870,Link2_A_out
202401161500,202401161600,Link20_4_21,992,Link2_A_out
202401161600,202401161700,Link20_4_21,1006,Link2_A_out
202401161700,202401161800,Link20_4_21,1022,Link2_A_out
202401161800,202401161900,Link20_4_21,1029,Link2_A_out
202401161900,202401162000,Link20_4_21,805,Link2_A_out
