集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401090700,202401090800,Link25_5_25,832,Link4_B_in
202401090800,202401090900,Link25_5_25,730,Link4_B_in
202401090900,202401091000,Link25_5_25,625,Link4_B_in
202401091000,202401091100,Link25_5_25,692,Link4_B_in
202401091100,202401091200,Link25_5_25,650,Link4_B_in
202401091200,202401091300,Link25_5_25,683,Link4_B_in
202401091300,202401091400,Link25_5_25,750,Link4_B_in
202401091400,202401091500,Link25_5_25,648,Link4_B_in
202401091500,202401091600,Link25_5_25,637,Link4_B_in
202401091600,202401091700,Link25_5_25,641,Link4_B_in
202401091700,202401091800,Link25_5_25,501,Link4_B_in
202401091800,202401091900,Link25_5_25,587,Link4_B_in
202401091900,202401092000,Link25_5_25,628,Link4_B_in
202401090700,202401090800,Link25_25_5,1075,Link4_B_out
202401090800,202401090900,Link25_25_5,1036,Link4_B_out
202401090900,202401091000,Link25_25_5,696,Link4_B_out
202401091000,202401091100,Link25_25_5,776,Link4_B_out
202401091100,202401091200,Link25_25_5,714,Link4_B_out
202401091200,202401091300,Link25_25_5,667,Link4_B_out
202401091300,202401091400,Link25_25_5,696,Link4_B_out
202401091400,202401091500,Link25_25_5,726,Link4_B_out
202401091500,202401091600,Link25_25_5,726,Link4_B_out
202401091600,202401091700,Link25_25_5,762,Link4_B_out
202401091700,202401091800,Link25_25_5,831,Link4_B_out
202401091800,202401091900,Link25_25_5,761,Link4_B_out
202401091900,202401092000,Link25_25_5,668,Link4_B_out
