集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401160700,202401160800,Link15_3_17,463,Link10_B_out
202401160800,202401160900,Link15_3_17,557,Link10_B_out
202401160900,202401161000,Link15_3_17,369,Link10_B_out
202401161000,202401161100,Link15_3_17,334,Link10_B_out
202401161100,202401161200,Link15_3_17,330,Link10_B_out
202401161200,202401161300,Link15_3_17,297,Link10_B_out
202401161300,202401161400,Link15_3_17,312,Link10_B_out
202401161400,202401161500,Link15_3_17,338,Link10_B_out
202401161500,202401161600,Link15_3_17,342,Link10_B_out
202401161600,202401161700,Link15_3_17,439,Link10_B_out
202401161700,202401161800,Link15_3_17,468,Link10_B_out
202401161800,202401161900,Link15_3_17,387,Link10_B_out
202401161900,202401162000,Link15_3_17,289,Link10_B_out
