集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401160700,202401160800,Link16_3_18,288,Link10_A_out
202401160800,202401160900,Link16_3_18,348,Link10_A_out
202401160900,202401161000,Link16_3_18,209,Link10_A_out
202401161000,202401161100,Link16_3_18,162,Link10_A_out
202401161100,202401161200,Link16_3_18,156,Link10_A_out
202401161200,202401161300,Link16_3_18,181,Link10_A_out
202401161300,202401161400,Link16_3_18,214,Link10_A_out
202401161400,202401161500,Link16_3_18,212,Link10_A_out
202401161500,202401161600,Link16_3_18,241,Link10_A_out
202401161600,202401161700,Link16_3_18,290,Link10_A_out
202401161700,202401161800,Link16_3_18,299,Link10_A_out
202401161800,202401161900,Link16_3_18,297,Link10_A_out
202401161900,202401162000,Link16_3_18,239,Link10_A_out
