集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401160700,202401160800,Link15_17_3,352,Link10_B_in
202401160800,202401160900,Link15_17_3,363,Link10_B_in
202401160900,202401161000,Link15_17_3,313,Link10_B_in
202401161000,202401161100,Link15_17_3,271,Link10_B_in
202401161100,202401161200,Link15_17_3,266,Link10_B_in
202401161200,202401161300,Link15_17_3,249,Link10_B_in
202401161300,202401161400,Link15_17_3,258,Link10_B_in
202401161400,202401161500,Link15_17_3,282,Link10_B_in
202401161500,202401161600,Link15_17_3,305,Link10_B_in
202401161600,202401161700,Link15_17_3,349,Link10_B_in
202401161700,202401161800,Link15_17_3,357,Link10_B_in
202401161800,202401161900,Link15_17_3,327,Link10_B_in
202401161900,202401162000,Link15_17_3,272,Link10_B_in
