集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401160700,202401160800,Link12_3_15,33,Link10_C_in
202401160800,202401160900,Link12_3_15,56,Link10_C_in
202401160900,202401161000,Link12_3_15,49,Link10_C_in
202401161000,202401161100,Link12_3_15,63,Link10_C_in
202401161100,202401161200,Link12_3_15,53,Link10_C_in
202401161200,202401161300,Link12_3_15,58,Link10_C_in
202401161300,202401161400,Link12_3_15,59,Link10_C_in
202401161400,202401161500,Link12_3_15,60,Link10_C_in
202401161500,202401161600,Link12_3_15,55,Link10_C_in
202401161600,202401161700,Link12_3_15,68,Link10_C_in
202401161700,202401161800,Link12_3_15,67,Link10_C_in
202401161800,202401161900,Link12_3_15,52,Link10_C_in
202401161900,202401162000,Link12_3_15,50,Link10_C_in
